Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.36,0.46,93.84,79.8,79.8
7.7,0.54,93.55,79.8,79.09
7.7,0.77,93.55,79.09,79.09
7.7,0.81,93.84,79.09,78.95
7.69,0.8,93.69,78.95,78.8
7.69,5.29,93.84,78.8,78.8
7.07,0.67,93.84,78.8,78.66
7.72,4.17,93.69,78.66,78.66
7.68,0.7,93.69,78.66,78.24
7.68,3.72,93.98,78.24,78.24
7.2,0.8,93.55,78.24,78.09
7.67,0.8,93.69,78.09,77.95
7.66,0.96,93.98,77.95,77.95
7.78,0.23,93.84,77.95,77.81
7.78,0.26,93.69,77.81,77.81
7.8,0.59,93.55,77.81,77.67
7.58,0.28,93.55,77.67,77.67
7.77,0.26,93.69,77.67,77.52
7.59,1.44,94.13,77.52,77.38
7.77,0.36,93.69,77.38,77.38
7.56,7.08,93.55,77.38,77.24
7.56,1.44,93.98,77.24,77.24
7.56,1.52,93.69,77.24,77.1
7.56,1.42,93.69,77.1,77.1
7.55,1.41,93.98,77.1,76.96
7.56,1.44,93.69,76.96,76.81
7.56,1.38,94.13,76.81,76.81
7.56,5.62,93.98,76.81,76.67
7.56,1.39,94.27,76.67,76.67
7.55,1.38,94.27,76.67,76.53
7.55,1.39,93.98,76.53,76.53
7.56,1.36,93.98,76.53,76.39
7.66,0.55,94.13,76.39,76.39
7.67,0.67,94.27,76.39,76.24
7.68,0.56,94.27,76.24,76.1
7.55,1.41,94.27,76.1,76.1
7.55,1.4,94.13,76.1,75.96
7.52,1.55,94.13,75.96,75.96
7.54,1.39,94.42,75.96,75.82
7.54,1.39,94.71,75.82,75.82
7.3,1.42,94.42,75.82,75.53
7.55,1.34,94.42,75.53,75.53
7.56,0.54,94.13,75.53,75.39
7.54,1.34,94.27,75.39,75.39
7.55,1.21,94.27,75.39,75.25
7.54,1.34,94.56,75.25,75.25
7.54,2.73,94.27,75.25,75.11
7.54,1.34,94.56,75.11,74.96
7.54,5.09,94.42,74.96,74.96
7.51,1.39,94.56,74.96,74.82
7.08,0.45,94.27,74.82,74.82
7.71,4.24,94.56,74.82,74.82
7.53,1.43,94.42,74.82,74.68
7.52,1.37,94.27,74.68,74.39
7.54,1.21,94.27,74.39,74.39
7.51,1.34,94.56,74.39,74.25
7.52,4.47,94.42,74.25,74.25
7.52,5.58,94.27,74.25,74.11
7.52,1.3,94.42,74.11,74.11
7.51,1.28,94.27,74.11,73.97
7.4,6.34,94.42,73.97,73.97
7.5,1.3,94.13,73.97,73.83
7.52,4.95,94.27,73.83,73.83
7.52,1.29,94.27,73.83,73.68
7.62,0.73,94.42,73.68,73.68
7.65,3.76,94.56,73.68,73.54
7.49,0.57,94.42,73.54,73.4
7.37,0.54,94.42,73.4,73.11
7.4,0.63,94.27,73.11,73.11
7.27,0.85,94.42,73.11,72.97
7.61,0.53,94.42,72.97,72.83
7.64,0.7,94.56,72.83,72.83
7.52,0.7,94.42,72.83,72.69
7.61,0.79,94.71,72.69,72.69
7.65,0.76,94.56,72.69,72.55
7.65,0.85,94.56,72.55,72.55
7.63,0.62,94.71,72.55,72.4
7.62,1.3,94.85,72.4,72.4
7.64,0.85,94.56,72.4,71.98
7.61,0.67,94.71,71.98,71.98
7.09,0.67,94.56,71.98,71.83
7.62,0.82,95,71.83,71.83
7.63,0.68,94.56,71.83,71.69
7.63,0.67,94.71,71.69,71.69
7.64,0.61,94.85,71.69,71.27
7.5,3.36,94.71,71.27,71.27
7.36,1.42,95,71.27,71.12
7.48,1.44,94.85,71.12,71.12
7.49,6.01,95,71.12,70.98
7.49,1.4,95,70.98,70.84
6.81,1.35,95.14,70.84,70.84
7.68,0.32,94.85,70.84,70.84
7.5,4.92,94.56,70.84,70.7
7.5,1.3,94.71,70.7,70.7
6.89,1.41,94.56,70.7,70.55
7.48,0.39,94.85,70.55,70.55
7.5,1.19,94.71,70.55,70.41
7.7,0.18,94.71,70.41,70.41
7.49,1.52,94.85,70.41,70.27
7.69,0.12,95,70.27,70.27
6.87,1.62,94.56,70.27,70.13
7.49,1.43,94.71,70.13,70.13
7.71,0.28,94.85,70.13,69.84
7.51,1.45,94.85,69.84,69.84
7.3,5.13,94.56,69.84,69.7
7.7,0.12,94.85,69.7,69.7
7.16,1.61,94.71,69.7,69.7
7.49,1.44,94.71,69.7,69.13
7.52,1.26,95,69.13,68.99
7.57,0.92,95.29,68.99,68.85
7.54,1.95,95,68.85,68.85
7.48,1.43,94.85,68.85,68.85
7.2,0.12,95,68.85,68.7
7.71,0.08,95,68.7,68.7
7.49,1.65,95.14,68.7,68.7
7.7,0.3,95.14,68.7,68.56
7.69,0.1,95.29,68.56,68.42
7.51,1.39,95,68.42,68.28
7.68,0.15,94.85,68.28,68.28
7.49,1.35,95.29,68.28,67.99
7.07,1.28,95,67.99,67.99
7.47,1.22,95,67.99,67.99
6.96,1.37,95.14,67.99,67.71
7.51,3.66,95.14,67.71,67.71
7.49,1.34,95.14,67.71,67.57
7.48,1.33,95.43,67.57,67.57
7.48,1.41,95.29,67.57,67.42
7.7,1.64,95.29,67.42,67.42
7.71,1.25,95.14,67.42,67.42
7.22,1.43,95,67.42,67.14
7.7,4.02,95,67.14,66.86
6.86,0.09,95.14,66.86,66.86
7.49,1.44,95.29,66.86,66.43
7.5,1.36,95.29,66.43,66.29
7.18,6,95.14,66.29,66.14
7.58,0.94,95.14,66.14,66.14
7.48,1.39,95.14,66.14,66.14
7.69,0.11,95.14,66.14,65.72
7.48,1.41,95.43,65.72,65.58
7.12,0.12,95.58,65.58,65.43
7.69,0.1,95.43,65.43,65.43
7.48,1.43,95.58,65.43,65.43
7.66,6.51,95.29,65.43,65.29
7.69,1.57,95.29,65.29,65.29
7.5,2.54,95.58,65.29,65.29
7.01,1.44,95.29,65.29,65.15
7.27,0.1,95.72,65.15,65.15
7.7,0.1,95.43,65.15,65.01
7.48,1.42,95.43,65.01,65.01
7.68,2.45,95.58,65.01,65.01
7.69,0.09,95.72,65.01,64.86
7.49,1.37,95.72,64.86,64.86
7.52,1.23,95.58,64.86,64.72
7.57,2.68,95.87,64.72,64.72
7.68,0.26,95.72,64.72,64.72
7.31,1.19,95.72,64.72,64.58
6.93,1.41,95.72,64.58,64.58
7.3,0.11,95.72,64.58,64.58
7.5,1.25,95.87,64.58,63.02
7.48,1.41,95.87,63.02,63.02
7.69,0.12,95.87,63.02,63.02
7.7,0.09,95.72,63.02,62.87
7.54,1.15,96.01,62.87,62.87
7.69,5.23,95.87,62.87,62.73
7.27,1.44,95.87,62.73,62.73
7.48,1.35,95.72,62.73,62.59
7.51,1.27,95.72,62.59,62.59
7.49,1.24,95.72,62.59,62.59
7.48,1.22,96.16,62.59,62.45
7.5,1.13,96.01,62.45,62.45
7.48,1.32,96.01,62.45,62.3
7.48,1.33,96.01,62.3,62.16
7.21,1.21,96.01,62.16,62.16
7.48,1.26,96.01,62.16,62.02
7.36,7.08,95.58,62.02,62.02
7.67,0.15,95.72,62.02,61.88
7.66,0.27,95.72,61.88,61.88
7.47,1.09,95.87,61.88,61.73
7.68,0.1,95.72,61.73,61.73
7.49,1.33,95.87,61.73,61.73
7.46,1.35,95.72,61.73,61.59
7.68,0.14,95.87,61.59,61.59
7.68,0.22,95.87,61.59,61.45
7.66,0.28,95.58,61.45,61.45
7.62,0.62,95.72,61.45,61.45
7.64,0.68,96.01,61.45,61.31
7.58,0.8,96.01,61.31,61.31
7.69,0.18,95.72,61.31,61.02
7.63,6.47,95.87,61.02,61.02
7.68,0.1,95.72,61.02,61.02
7.48,1.32,95.87,61.02,60.88
7.67,0.33,96.01,60.88,60.88
7.47,1.31,95.87,60.88,60.74
7.47,1.39,95.87,60.74,60.74
7.47,1.37,96.16,60.74,60.03
7.16,0.22,96.16,60.03,60.03
7.5,1.22,96.3,60.03,60.03
7.68,0.1,96.3,60.03,59.89
7.53,1.69,96.16,59.89,59.89
7.47,1.37,96.01,59.89,59.89
7.49,1.4,96.16,59.89,59.74
7.54,5.2,96.16,59.74,59.74
7.46,1.41,96.3,59.74,59.74
7.47,5.54,96.16,59.74,59.6
7.51,1.18,96.16,59.6,59.6
7.68,0.1,96.01,59.6,59.6
7.5,1.29,96.16,59.6,59.46
7.48,1.4,96.16,59.46,59.46
7.66,0.12,96.16,59.46,59.32
7.68,0.08,96.01,59.32,59.32
7.47,1.39,96.45,59.32,59.32
7.55,1.44,96.45,59.32,59.17
7.55,0.96,96.3,59.17,59.03
7.55,1.03,96.16,59.03,58.89
7.47,1.41,96.3,58.89,58.89
7.68,5.73,96.16,58.89,58.89
7.47,1.43,96.45,58.89,58.75
7.49,1.3,96.45,58.75,58.75
7.69,4.77,96.3,58.75,58.75
7.69,1.97,96.45,58.75,58.32
7.51,1.66,96.3,58.32,58.32
6.68,1.42,96.3,58.32,58.18
7.65,0.22,96.3,58.18,58.04
7.15,1.29,96.45,58.04,58.04
7.68,0.12,96.3,58.04,58.04
7.47,4.4,96.3,58.04,57.89
7.13,0.11,96.16,57.89,57.89
7.67,0.11,96.45,57.89,57.47
7.67,0.1,96.45,57.47,57.47
7.47,1.39,96.59,57.47,57.18
7.61,3.17,96.74,57.18,57.04
7.46,1.41,96.3,57.04,57.04
7.51,1.15,96.45,57.04,57.04
7.47,1.33,96.3,57.04,56.33
7.56,0.87,96.3,56.33,56.33
7.5,1.3,96.01,56.33,56.19
7.67,0.12,96.01,56.19,56.19
7.48,0.12,96.01,56.19,56.19
7.46,1.39,96.16,56.19,56.04
7.01,1.3,95.87,56.04,56.04
7.64,0.15,96.3,56.04,56.04
7.5,1.24,95.87,56.04,55.9
6.65,1.28,96.01,55.9,55.9
7.5,0.11,96.16,55.9,55.48
7.69,6.33,96.01,55.48,55.19
7.68,4,95.87,55.19,55.19
7.46,6.58,96.16,55.19,55.05
7.66,0.12,96.01,55.05,54.91
7.46,1.4,96.16,54.91,54.91
7.06,1.17,95.87,54.91,54.91
7.66,0.12,96.01,54.91,54.48
7.39,0.11,96.16,54.48,54.48
7.46,3.29,96.16,54.48,54.48
7.68,0.43,96.16,54.48,54.05
7.56,1.06,95.87,54.05,54.05
7.46,1.4,96.3,54.05,53.91
7.66,0.13,96.16,53.91,53.91
7.69,0.09,96.01,53.91,53.91
7.69,3.3,96.16,53.91,53.77
